name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,keywords
Firebending Student,{1}{R},2.0,Creature — Human Monk,"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)
Firebending X, where X is this creature's power. (Whenever this creature attacks, add X {R}. This mana lasts until end of combat.)",R,R,rare,PTLA,Avatar: The Last Airbender Promos,139s,1,2,,Prowess;Firebending
Firebending Student,{1}{R},2.0,Creature — Human Monk,"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)
Firebending X, where X is this creature's power. (Whenever this creature attacks, add X {R}. This mana lasts until end of combat.)",R,R,rare,TLA,Avatar: The Last Airbender,342,1,2,,Prowess;Firebending
Firebrand Archer,{1}{R},2.0,Creature — Human Archer,"Whenever you cast a noncreature spell, this creature deals 1 damage to each opponent.",R,R,common,J25,Foundations Jumpstart,548,2,1,,
Firebrand Archer,{1}{R},2.0,Creature — Human Archer,"Whenever you cast a noncreature spell, this creature deals 1 damage to each opponent.",R,R,common,HOU,Hour of Devastation,92,2,1,,
Firebrand Archer,{1}{R},2.0,Creature — Human Archer,"Whenever you cast a noncreature spell, this creature deals 1 damage to each opponent.",R,R,common,AKR,Amonkhet Remastered,154,2,1,,
Firebrand Archer,{1}{R},2.0,Creature — Human Archer,"Whenever you cast a noncreature spell, this creature deals 1 damage to each opponent.",R,R,common,PLST,The List,HOU-92,2,1,,
Firebrand Archer,{1}{R},2.0,Creature — Human Archer,"Whenever you cast a noncreature spell, this creature deals 1 damage to each opponent.",R,R,common,FDN,Foundations,196,2,1,,
Fireglass Mentor,{B}{R},2.0,Creature — Lizard Warlock,"At the beginning of your second main phase, if an opponent lost life this turn, exile the top two cards of your library. Choose one of them. Until end of turn, you may play that card.","B,R","B,R",uncommon,BLB,Bloomburrow,213,2,1,,
Firespitter Whelp,{2}{R},3.0,Creature — Dragon,"Flying
Whenever you cast a noncreature or Dragon spell, this creature deals 1 damage to each opponent.",R,R,uncommon,J25,Foundations Jumpstart,14,2,2,,Flying
Firespitter Whelp,{2}{R},3.0,Creature — Dragon,"Flying
Whenever you cast a noncreature or Dragon spell, this creature deals 1 damage to each opponent.",R,R,uncommon,FDN,Foundations,197,2,2,,Flying
"Firion, Wild Rose Warrior",{2}{R},3.0,Legendary Creature — Human Rebel Warrior,"Equipped creatures you control have haste.
Whenever a nontoken Equipment you control enters, create a token that's a copy of it, except it has ""This Equipment's equip abilities cost {2} less to activate."" Sacrifice that token at the beginning of the next upkeep.",R,R,rare,PFIN,Final Fantasy Promos,137s,3,3,,
"Firion, Wild Rose Warrior",{2}{R},3.0,Legendary Creature — Human Rebel Warrior,"Equipped creatures you control have haste.
Whenever a nontoken Equipment you control enters, create a token that's a copy of it, except it has ""This Equipment's equip abilities cost {2} less to activate."" Sacrifice that token at the beginning of the next upkeep.",R,R,rare,FIN,Final Fantasy,531,3,3,,
"Firion, Wild Rose Warrior",{2}{R},3.0,Legendary Creature — Human Rebel Warrior,"Equipped creatures you control have haste.
Whenever a nontoken Equipment you control enters, create a token that's a copy of it, except it has ""This Equipment's equip abilities cost {2} less to activate."" Sacrifice that token at the beginning of the next upkeep.",R,R,rare,FIN,Final Fantasy,459,3,3,,
"Firion, Wild Rose Warrior",{2}{R},3.0,Legendary Creature — Human Rebel Warrior,"Equipped creatures you control have haste.
Whenever a nontoken Equipment you control enters, create a token that's a copy of it, except it has ""This Equipment's equip abilities cost {2} less to activate."" Sacrifice that token at the beginning of the next upkeep.",R,R,rare,FIN,Final Fantasy,386,3,3,,
"Firion, Wild Rose Warrior",{2}{R},3.0,Legendary Creature — Human Rebel Warrior,"Equipped creatures you control have haste.
Whenever a nontoken Equipment you control enters, create a token that's a copy of it, except it has ""This Equipment's equip abilities cost {2} less to activate."" Sacrifice that token at the beginning of the next upkeep.",R,R,rare,FIN,Final Fantasy,137,3,3,,
First-Time Flyer,{1}{U},2.0,Creature — Human Pilot Ally,"Flying
This creature gets +1/+1 as long as there's a Lesson card in your graveyard.",U,U,common,TLA,Avatar: The Last Airbender,49,1,2,,Flying
Flame-Chain Mauler,{1}{R},2.0,Creature — Elemental Warrior,{1}{R}: This creature gets +1/+0 and gains menace until end of turn. (It can't be blocked except by two or more creatures.),R,R,common,ECL,Lorwyn Eclipsed,138,2,2,,
Flamebraider,{1}{R},2.0,Creature — Elemental Bard,{T}: Add two mana in any combination of colors. Spend this mana only to cast Elemental spells or activate abilities of Elemental sources.,R,R,uncommon,ECL,Lorwyn Eclipsed,139,2,2,,
Flamecache Gecko,{1}{R},2.0,Creature — Lizard Warlock,"When this creature enters, if an opponent lost life this turn, add {B}{R}.
{1}{R}, Discard a card: Draw a card.",R,"B,R",uncommon,BLB,Bloomburrow,135,2,2,,
Flamehold Grappler,{U}{R}{W},3.0,Creature — Human Monk,"First strike
When this creature enters, copy the next spell you cast this turn when you cast it. You may choose new targets for the copy. (A copy of a permanent spell becomes a token.)","R,U,W","R,U,W",rare,TDM,Tarkir: Dragonstorm,359,3,3,,First strike
Flamehold Grappler,{U}{R}{W},3.0,Creature — Human Monk,"First strike
When this creature enters, copy the next spell you cast this turn when you cast it. You may choose new targets for the copy. (A copy of a permanent spell becomes a token.)","R,U,W","R,U,W",rare,PTDM,Tarkir: Dragonstorm Promos,185p,3,3,,First strike
Flamehold Grappler,{U}{R}{W},3.0,Creature — Human Monk,"First strike
When this creature enters, copy the next spell you cast this turn when you cast it. You may choose new targets for the copy. (A copy of a permanent spell becomes a token.)","R,U,W","R,U,W",rare,PTDM,Tarkir: Dragonstorm Promos,185s,3,3,,First strike
Flamehold Grappler,{U}{R}{W},3.0,Creature — Human Monk,"First strike
When this creature enters, copy the next spell you cast this turn when you cast it. You may choose new targets for the copy. (A copy of a permanent spell becomes a token.)","R,U,W","R,U,W",rare,TDM,Tarkir: Dragonstorm,185,3,3,,First strike
Flamekin Gildweaver,{3}{R},4.0,Creature — Elemental Sorcerer,"Trample
When this creature enters, create a Treasure token. (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")",R,R,common,ECL,Lorwyn Eclipsed,140,4,3,,Treasure;Trample
Flamewake Phoenix,{1}{R}{R},3.0,Creature — Phoenix,"Flying, haste
This creature attacks each combat if able.
Ferocious — At the beginning of combat on your turn, if you control a creature with power 4 or greater, you may pay {R}. If you do, return this card from your graveyard to the battlefield.",R,R,rare,PFDN,Foundations Promos,198s,2,2,,Flying;Ferocious;Haste
Flamewake Phoenix,{1}{R}{R},3.0,Creature — Phoenix,"Flying, haste
This creature attacks each combat if able.
Ferocious — At the beginning of combat on your turn, if you control a creature with power 4 or greater, you may pay {R}. If you do, return this card from your graveyard to the battlefield.",R,R,rare,PFRF,Fate Reforged Promos,100s,2,2,,Flying;Ferocious;Haste
Flamewake Phoenix,{1}{R}{R},3.0,Creature — Phoenix,"Flying, haste
This creature attacks each combat if able.
Ferocious — At the beginning of combat on your turn, if you control a creature with power 4 or greater, you may pay {R}. If you do, return this card from your graveyard to the battlefield.",R,R,rare,FDN,Foundations,198,2,2,,Flying;Ferocious;Haste
Flamewake Phoenix,{1}{R}{R},3.0,Creature — Phoenix,"Flying, haste
This creature attacks each combat if able.
Ferocious — At the beginning of combat on your turn, if you control a creature with power 4 or greater, you may pay {R}. If you do, return this card from your graveyard to the battlefield.",R,R,rare,FRF,Fate Reforged,100,2,2,,Flying;Ferocious;Haste
Flaring Cinder,{1}{U/R}{U/R},3.0,Creature — Elemental Sorcerer,"When this creature enters and whenever you cast a spell with mana value 4 or greater, you may discard a card. If you do, draw a card.","R,U","R,U",common,ECL,Lorwyn Eclipsed,225,3,2,,
"Flash Thompson, Spider-Fan",{1}{W},2.0,Legendary Creature — Human Citizen,"Flash
When Flash Thompson enters, choose one or both —
• Heckle — Tap target creature.
• Hero Worship — Untap target creature.",W,W,uncommon,OM1,Through the Omenpaths,3,2,2,,Flash
"Flash Thompson, Spider-Fan",{1}{W},2.0,Legendary Creature — Human Citizen,"Flash
When Flash Thompson enters, choose one or both —
• Heckle — Tap target creature.
• Hero Worship — Untap target creature.",W,W,uncommon,SPM,Marvel's Spider-Man,7,2,2,,Flash
Fleeting Effigy,{R},1.0,Creature — Elemental,"Haste
At the beginning of your end step, return this creature to its owner's hand. (Return it only if it's on the battlefield.)
{2}{R}: This creature gets +2/+0 until end of turn.",R,R,uncommon,TDM,Tarkir: Dragonstorm,108,2,2,,Haste
Flesh Burrower,{1}{G},2.0,Creature — Insect,"Deathtouch
Whenever this creature attacks, another target creature you control gains deathtouch until end of turn.",G,G,common,DSK,Duskmourn: House of Horror,178,2,2,,Deathtouch
Flexible Waterbender,{3}{U},4.0,Creature — Human Warrior Ally,"Vigilance
Waterbend {3}: This creature has base power and toughness 5/2 until end of turn. (While paying a waterbend cost, you can tap your artifacts and creatures to help. Each one pays for {1}.)",U,U,common,TLA,Avatar: The Last Airbender,50,2,5,,Vigilance;Waterbend
Flight-Deck Coordinator,{2}{W},3.0,Creature — Human Soldier,"At the beginning of your end step, if you control two or more tapped creatures, you gain 2 life.",W,W,common,EOE,Edge of Eternities,17,3,3,,
Flitterwing Nuisance,{U},1.0,Creature — Faerie Rogue,"Flying
This creature enters with a -1/-1 counter on it.
{2}{U}, Remove a counter from this creature: Whenever a creature you control deals combat damage to a player or planeswalker this turn, draw a card.",U,U,rare,ECL,Lorwyn Eclipsed,304,2,2,,Flying
Flitterwing Nuisance,{U},1.0,Creature — Faerie Rogue,"Flying
This creature enters with a -1/-1 counter on it.
{2}{U}, Remove a counter from this creature: Whenever a creature you control deals combat damage to a player or planeswalker this turn, draw a card.",U,U,rare,PECL,Lorwyn Eclipsed Promos,48p,2,2,,Flying
Flitterwing Nuisance,{U},1.0,Creature — Faerie Rogue,"Flying
This creature enters with a -1/-1 counter on it.
{2}{U}, Remove a counter from this creature: Whenever a creature you control deals combat damage to a player or planeswalker this turn, draw a card.",U,U,rare,ECL,Lorwyn Eclipsed,48,2,2,,Flying
Flock Impostor,{2}{W},3.0,Creature — Shapeshifter,"Changeling (This card is every creature type.)
Flash
Flying
When this creature enters, return up to one other target creature you control to its owner's hand.",W,W,uncommon,ECL,Lorwyn Eclipsed,16,2,2,,Changeling;Flying;Flash
Floodpits Drowner,{1}{U},2.0,Creature — Merfolk,"Flash
Vigilance
When this creature enters, tap target creature an opponent controls and put a stun counter on it.
{1}{U}, {T}: Shuffle this creature and target creature with a stun counter on it into their owners' libraries.",U,U,uncommon,DSK,Duskmourn: House of Horror,59,2,1,,Vigilance;Flash
"Flopsie, Bumi's Buddy",{4}{G}{G},6.0,Legendary Creature — Ape Goat,"When Flopsie enters, put a +1/+1 counter on each creature you control.
Each creature you control with power 4 or greater can't be blocked by more than one creature.",G,G,uncommon,TLA,Avatar: The Last Airbender,179,4,4,,
Flourishing Bloom-Kin,{1}{G},2.0,Creature — Plant Elemental,"This creature gets +1/+1 for each Forest you control.
Disguise {4}{G}
When this creature is turned face up, search your library for up to two Forest cards and reveal them. Put one of them onto the battlefield tapped and the other into your hand, then shuffle.",G,G,uncommon,MKM,Murders at Karlov Manor,160,0,0,,Disguise
Flowerfoot Swordmaster,{W},1.0,Creature — Mouse Soldier,"Offspring {2} (You may pay an additional {2} as you cast this spell. If you do, when this creature enters, create a 1/1 token copy of it.)
Valiant — Whenever this creature becomes the target of a spell or ability you control for the first time each turn, Mice you control get +1/+0 until end of turn.",W,W,uncommon,BLB,Bloomburrow,14,1,2,,Offspring;Valiant
Flowerfoot Swordmaster,{W},1.0,Creature — Mouse Soldier,"Offspring {2} (You may pay an additional {2} as you cast this spell. If you do, when this creature enters, create a 1/1 token copy of it.)
Valiant — Whenever this creature becomes the target of a spell or ability you control for the first time each turn, Mice you control get +1/+0 until end of turn.",W,W,rare,SLP,Secret Lair Promo,46,1,2,,Offspring;Valiant
Flying Octobot,{1}{U},2.0,Artifact Creature — Robot Villain,"Flying
Whenever another Villain you control enters, put a +1/+1 counter on this creature. This ability triggers only once each turn.",U,U,uncommon,OM1,Through the Omenpaths,47,1,1,,Flying
Flying Octobot,{1}{U},2.0,Artifact Creature — Robot Villain,"Flying
Whenever another Villain you control enters, put a +1/+1 counter on this creature. This ability triggers only once each turn.",U,U,uncommon,SPM,Marvel's Spider-Man,31,1,1,,Flying
Fog Bank,{1}{U},2.0,Creature — Wall,"Defender (This creature can't attack.)
Flying
Prevent all combat damage that would be dealt to and dealt by this creature.",U,U,uncommon,FDN,Foundations,591,0,2,,Flying;Defender
Fog Bank,{1}{U},2.0,Creature — Wall,"Defender (This creature can't attack.)
Flying
Prevent all combat damage that would be dealt to and dealt by this creature.",U,U,uncommon,CMD,Commander 2011,47,0,2,,Flying;Defender
Fog Bank,{1}{U},2.0,Creature — Wall,"Defender (This creature can't attack.)
Flying
Prevent all combat damage that would be dealt to and dealt by this creature.",U,U,uncommon,C13,Commander 2013,44,0,2,,Flying;Defender
Fog Bank,{1}{U},2.0,Creature — Wall,"Defender (This creature can't attack.)
Flying
Prevent all combat damage that would be dealt to and dealt by this creature.",U,U,uncommon,IMA,Iconic Masters,56,0,2,,Flying;Defender
Fog Bank,{1}{U},2.0,Creature — Wall,"Defender (This creature can't attack.)
Flying
Prevent all combat damage that would be dealt to and dealt by this creature.",U,U,uncommon,USG,Urza's Saga,75,0,2,,Flying;Defender
Fog Bank,{1}{U},2.0,Creature — Wall,"Defender (This creature can't attack.)
Flying
Prevent all combat damage that would be dealt to and dealt by this creature.",U,U,uncommon,C14,Commander 2014,110,0,2,,Flying;Defender
Fog Bank,{1}{U},2.0,Creature — Wall,"Defender (This creature can't attack.)
Flying
Prevent all combat damage that would be dealt to and dealt by this creature.",U,U,uncommon,M13,Magic 2013,52,0,2,,Flying;Defender
