name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,keywords
Ice Magic,{1}{U},2.0,Instant,"Tiered (Choose one additional cost.)
• Blizzard — {0} — Return target creature to its owner's hand.
• Blizzara — {2} — Target creature's owner puts it on their choice of the top or bottom of their library.
• Blizzaga — {5}{U} — Target creature's owner shuffles it into their library.",U,U,common,FIN,Final Fantasy,56,,,,Blizzard;Blizzara;Blizzaga;Tiered
Ice Out,{1}{U}{U},3.0,Instant,"Bargain (You may sacrifice an artifact, enchantment, or token as you cast this spell.)
This spell costs {1} less to cast if it's bargained.
Counter target spell.",U,U,rare,PW23,Wizards Play Network 2023,7,,,,Bargain
Ice Out,{1}{U}{U},3.0,Instant,"Bargain (You may sacrifice an artifact, enchantment, or token as you cast this spell.)
This spell costs {1} less to cast if it's bargained.
Counter target spell.",U,U,common,WOE,Wilds of Eldraine,54,,,,Bargain
Impossible Inferno,{4}{R},5.0,Instant,"Impossible Inferno deals 6 damage to target creature.
Delirium — If there are four or more card types among cards in your graveyard, exile the top card of your library. You may play it until the end of your next turn.",R,R,common,DSK,Duskmourn: House of Horror,140,,,,Delirium
In the Presence of Ages,{2}{G},3.0,Instant,Reveal the top four cards of your library. You may put a creature card and/or a land card from among them into your hand. Put the rest into your graveyard.,G,G,common,LCI,The Lost Caverns of Ixalan,192,,,,
Inevitable Defeat,{1}{R}{W}{B},4.0,Instant,"This spell can't be countered.
Exile target nonland permanent. Its controller loses 3 life and you gain 3 life.","B,R,W","B,R,W",rare,PTDM,Tarkir: Dragonstorm Promos,194s,,,,
Inevitable Defeat,{1}{R}{W}{B},4.0,Instant,"This spell can't be countered.
Exile target nonland permanent. Its controller loses 3 life and you gain 3 life.","B,R,W","B,R,W",rare,TDM,Tarkir: Dragonstorm,194,,,,
Inevitable Defeat,{1}{R}{W}{B},4.0,Instant,"This spell can't be countered.
Exile target nonland permanent. Its controller loses 3 life and you gain 3 life.","B,R,W","B,R,W",rare,PTDM,Tarkir: Dragonstorm Promos,194p,,,,
Inevitable Defeat,{1}{R}{W}{B},4.0,Instant,"This spell can't be countered.
Exile target nonland permanent. Its controller loses 3 life and you gain 3 life.","B,R,W","B,R,W",rare,TDM,Tarkir: Dragonstorm,360,,,,
Inspiring Call,{2}{G},3.0,Instant,"Draw a card for each creature you control with a +1/+1 counter on it. Those creatures gain indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy them.)",G,G,uncommon,IMA,Iconic Masters,169,,,,
Inspiring Call,{2}{G},3.0,Instant,"Draw a card for each creature you control with a +1/+1 counter on it. Those creatures gain indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy them.)",G,G,rare,SLD,Secret Lair Drop,2313,,,,
Inspiring Call,{2}{G},3.0,Instant,"Draw a card for each creature you control with a +1/+1 counter on it. Those creatures gain indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy them.)",G,G,uncommon,CM2,Commander Anthology Volume II,139,,,,
Inspiring Call,{2}{G},3.0,Instant,"Draw a card for each creature you control with a +1/+1 counter on it. Those creatures gain indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy them.)",G,G,uncommon,TLE,Avatar: The Last Airbender Eternal,168,,,,
Inspiring Call,{2}{G},3.0,Instant,"Draw a card for each creature you control with a +1/+1 counter on it. Those creatures gain indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy them.)",G,G,uncommon,FDN,Foundations,226,,,,
Inspiring Call,{2}{G},3.0,Instant,"Draw a card for each creature you control with a +1/+1 counter on it. Those creatures gain indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy them.)",G,G,uncommon,ZNC,Zendikar Rising Commander,70,,,,
Inspiring Call,{2}{G},3.0,Instant,"Draw a card for each creature you control with a +1/+1 counter on it. Those creatures gain indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy them.)",G,G,uncommon,LCC,The Lost Caverns of Ixalan Commander,244,,,,
