name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,keywords
Take for a Ride,{2}{R},3.0,Sorcery,"Take for a Ride has flash as long as you've committed a crime this turn. (Targeting opponents, anything they control, and/or cards in their graveyards is a crime.)
Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn.",R,R,uncommon,OTJ,Outlaws of Thunder Junction,148,,,,
Tectonic Hazard,{R},1.0,Sorcery,Tectonic Hazard deals 1 damage to each opponent and each creature they control.,R,R,common,LCI,The Lost Caverns of Ixalan,169,,,,
Temporal Cleansing,{3}{U},4.0,Sorcery,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
The owner of target nonland permanent puts it into their library second from the top or on the bottom.",U,U,common,ECL,Lorwyn Eclipsed,78,,,,Convoke
Temporal Cleansing,{3}{U},4.0,Sorcery,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
The owner of target nonland permanent puts it into their library second from the top or on the bottom.",U,U,common,MOM,March of the Machine,80,,,,Convoke
Temporal Intervention,{2}{B},3.0,Sorcery,"Void — This spell costs {2} less to cast if a nonland permanent left the battlefield this turn or a spell was warped this turn.
Target opponent reveals their hand. You choose a nonland card from it. That player discards that card.",B,B,common,EOE,Edge of Eternities,120,,,,Void
Tend the Sprigs,{2}{G},3.0,Sorcery,"Search your library for a basic land card, put it onto the battlefield tapped, then shuffle. Then if you control seven or more lands and/or Treefolk, create a 3/4 green Treefolk creature token with reach. (It can block creatures with flying.)",G,G,common,ECL,Lorwyn Eclipsed,197,,,,
Terminal Velocity,{4}{R}{R},6.0,Sorcery,"You may put an artifact or creature card from your hand onto the battlefield. That permanent gains haste, ""When this permanent leaves the battlefield, it deals damage equal to its mana value to each creature,"" and ""At the beginning of your end step, sacrifice this permanent.""",R,R,rare,EOE,Edge of Eternities,163,,,,
Terminal Velocity,{4}{R}{R},6.0,Sorcery,"You may put an artifact or creature card from your hand onto the battlefield. That permanent gains haste, ""When this permanent leaves the battlefield, it deals damage equal to its mana value to each creature,"" and ""At the beginning of your end step, sacrifice this permanent.""",R,R,rare,PEOE,Edge of Eternities Promos,163s,,,,
Terminal Velocity,{4}{R}{R},6.0,Sorcery,"You may put an artifact or creature card from your hand onto the battlefield. That permanent gains haste, ""When this permanent leaves the battlefield, it deals damage equal to its mana value to each creature,"" and ""At the beginning of your end step, sacrifice this permanent.""",R,R,rare,PEOE,Edge of Eternities Promos,163p,,,,
Terminal Velocity,{4}{R}{R},6.0,Sorcery,"You may put an artifact or creature card from your hand onto the battlefield. That permanent gains haste, ""When this permanent leaves the battlefield, it deals damage equal to its mana value to each creature,"" and ""At the beginning of your end step, sacrifice this permanent.""",R,R,rare,EOE,Edge of Eternities,338,,,,
