name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,keywords
Earth Rumble,{3}{G},4.0,Sorcery,"Earthbend 2. When you do, up to one target creature you control fights target creature an opponent controls. (To earthbend 2, target land you control becomes a 0/0 creature with haste that's still a land. Put two +1/+1 counters on it. When it dies or is exiled, return it to the battlefield tapped. Creatures that fight each deal damage equal to their power to the other.)",G,G,uncommon,TLA,Avatar: The Last Airbender,174,,,,Fight;Earthbend
Earthbending Lesson,{3}{G},4.0,Sorcery — Lesson,"Earthbend 4. (Target land you control becomes a 0/0 creature with haste that's still a land. Put four +1/+1 counters on it. When it dies or is exiled, return it to the battlefield tapped.)",G,G,common,TLA,Avatar: The Last Airbender,176,,,,Earthbend
Eaten Alive,{B},1.0,Sorcery,"As an additional cost to cast this spell, sacrifice a creature or pay {3}{B}.
Exile target creature or planeswalker.",B,B,common,INR,Innistrad Remastered,106,,,,
Eaten Alive,{B},1.0,Sorcery,"As an additional cost to cast this spell, sacrifice a creature or pay {3}{B}.
Exile target creature or planeswalker.",B,B,common,FDN,Foundations,172,,,,
Eaten Alive,{B},1.0,Sorcery,"As an additional cost to cast this spell, sacrifice a creature or pay {3}{B}.
Exile target creature or planeswalker.",B,B,common,DBL,Innistrad: Double Feature,99,,,,
Eaten Alive,{B},1.0,Sorcery,"As an additional cost to cast this spell, sacrifice a creature or pay {3}{B}.
Exile target creature or planeswalker.",B,B,common,J22,Jumpstart 2022,409,,,,
Eaten Alive,{B},1.0,Sorcery,"As an additional cost to cast this spell, sacrifice a creature or pay {3}{B}.
Exile target creature or planeswalker.",B,B,common,J25,Foundations Jumpstart,116,,,,
Eaten Alive,{B},1.0,Sorcery,"As an additional cost to cast this spell, sacrifice a creature or pay {3}{B}.
Exile target creature or planeswalker.",B,B,common,MID,Innistrad: Midnight Hunt,99,,,,
Ego Drain,{B},1.0,Sorcery,"Target opponent reveals their hand. You choose a nonland card from it. That player discards that card. If you don't control a Faerie, exile a card from your hand.",B,B,uncommon,WOE,Wilds of Eldraine,86,,,,
Electro's Bolt,{2}{R},3.0,Sorcery,"Electro's Bolt deals 4 damage to target creature.
Mayhem {1}{R} (You may cast this card from your graveyard for {1}{R} if you discarded it this turn. Timing rules still apply.)",R,R,common,SPM,Marvel's Spider-Man,77,,,,Mayhem
Electro's Bolt,{2}{R},3.0,Sorcery,"Electro's Bolt deals 4 damage to target creature.
Mayhem {1}{R} (You may cast this card from your graveyard for {1}{R} if you discarded it this turn. Timing rules still apply.)",R,R,common,OM1,Through the Omenpaths,78,,,,Mayhem
Electroduplicate,{2}{R},3.0,Sorcery,"Create a token that's a copy of target creature you control, except it has haste and ""At the beginning of the end step, sacrifice this token.""
Flashback {2}{R}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",R,R,rare,PFDN,Foundations Promos,85s,,,,Flashback
Electroduplicate,{2}{R},3.0,Sorcery,"Create a token that's a copy of target creature you control, except it has haste and ""At the beginning of the end step, sacrifice this token.""
Flashback {2}{R}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",R,R,rare,FDN,Foundations,85,,,,Flashback
Electroduplicate,{2}{R},3.0,Sorcery,"Create a token that's a copy of target creature you control, except it has haste and ""At the beginning of the end step, sacrifice this token.""
Flashback {2}{R}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",R,R,rare,FDN,Foundations,465,,,,Flashback
Electroduplicate,{2}{R},3.0,Sorcery,"Create a token that's a copy of target creature you control, except it has haste and ""At the beginning of the end step, sacrifice this token.""
Flashback {2}{R}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",R,R,rare,FDN,Foundations,390,,,,Flashback
Electroduplicate,{2}{R},3.0,Sorcery,"Create a token that's a copy of target creature you control, except it has haste and ""At the beginning of the end step, sacrifice this token.""
Flashback {2}{R}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",R,R,rare,FDN,Foundations,328,,,,Flashback
Ember Island Production,{3}{U}{U},5.0,Sorcery,"Choose one—
• Create a token that's a copy of target creature you control, except it's not legendary and it's a 4/4 Hero in addition to its other types.
• Create a token that's a copy of target creature an opponent controls, except it's not legendary and it's a 2/2 Coward in addition to its other types.",U,U,uncommon,TLA,Avatar: The Last Airbender,48,,,,
Embrace Oblivion,{B},1.0,Sorcery,"As an additional cost to cast this spell, sacrifice an artifact or creature.
Destroy target creature or Spacecraft.",B,B,common,EOE,Edge of Eternities,98,,,,
Emerge from the Cocoon,{4}{W},5.0,Sorcery,Return target creature card from your graveyard to the battlefield. You gain 3 life.,W,W,common,DSK,Duskmourn: House of Horror,5,,,,
Enter the Enigma,{U},1.0,Sorcery,"Target creature can't be blocked this turn.
Draw a card.",U,U,common,DSK,Duskmourn: House of Horror,52,,,,
Epic Downfall,{1}{B},2.0,Sorcery,Exile target creature with mana value 3 or greater.,B,B,uncommon,PLST,The List,ELD-85,,,,
Epic Downfall,{1}{B},2.0,Sorcery,Exile target creature with mana value 3 or greater.,B,B,uncommon,TLA,Avatar: The Last Airbender,96,,,,
Epic Downfall,{1}{B},2.0,Sorcery,Exile target creature with mana value 3 or greater.,B,B,uncommon,ELD,Throne of Eldraine,85,,,,
Eriette's Lullaby,{1}{W},2.0,Sorcery,Destroy target tapped creature. You gain 2 life.,W,W,common,OTJ,Outlaws of Thunder Junction,10,,,,
Eriette's Whisper,{3}{B},4.0,Sorcery,"Target opponent discards two cards. Create a Wicked Role token attached to up to one target creature you control. (If you control another Role on it, put that one into the graveyard. Enchanted creature gets +1/+1. When this token is put into a graveyard, each opponent loses 1 life.)",B,B,common,WOE,Wilds of Eldraine,88,,,,Role token
Evil Reawakened,{4}{B},5.0,Sorcery,Return target creature card from your graveyard to the battlefield with two additional +1/+1 counters on it.,B,B,uncommon,FIN,Final Fantasy,98,,,,
Exorcise,{1}{W},2.0,Sorcery,"Exile target artifact, enchantment, or creature with power 4 or greater.",W,W,uncommon,DSK,Duskmourn: House of Horror,8,,,,
Expel the Interlopers,{3}{W}{W},5.0,Sorcery,Choose a number between 0 and 10. Destroy all creatures with power greater than or equal to the chosen number.,W,W,rare,WOE,Wilds of Eldraine,13,,,,
Expel the Interlopers,{3}{W}{W},5.0,Sorcery,Choose a number between 0 and 10. Destroy all creatures with power greater than or equal to the chosen number.,W,W,rare,PWOE,Wilds of Eldraine Promos,13s,,,,
Expel the Interlopers,{3}{W}{W},5.0,Sorcery,Choose a number between 0 and 10. Destroy all creatures with power greater than or equal to the chosen number.,W,W,rare,WOE,Wilds of Eldraine,324,,,,
Expel the Interlopers,{3}{W}{W},5.0,Sorcery,Choose a number between 0 and 10. Destroy all creatures with power greater than or equal to the chosen number.,W,W,rare,TDC,Tarkir: Dragonstorm Commander,115,,,,
Expel the Interlopers,{3}{W}{W},5.0,Sorcery,Choose a number between 0 and 10. Destroy all creatures with power greater than or equal to the chosen number.,W,W,rare,WOE,Wilds of Eldraine,381,,,,
Expel the Interlopers,{3}{W}{W},5.0,Sorcery,Choose a number between 0 and 10. Destroy all creatures with power greater than or equal to the chosen number.,W,W,rare,PWOE,Wilds of Eldraine Promos,13p,,,,
Explosive Getaway,{3}{R}{W},5.0,Sorcery,"Exile up to one target artifact or creature. Return it to the battlefield under its owner's control at the beginning of the next end step.
Explosive Getaway deals 4 damage to each creature.","R,W","R,W",rare,PDFT,Aetherdrift Promos,202s,,,,
Explosive Getaway,{3}{R}{W},5.0,Sorcery,"Exile up to one target artifact or creature. Return it to the battlefield under its owner's control at the beginning of the next end step.
Explosive Getaway deals 4 damage to each creature.","R,W","R,W",rare,PDFT,Aetherdrift Promos,202p,,,,
Explosive Getaway,{3}{R}{W},5.0,Sorcery,"Exile up to one target artifact or creature. Return it to the battlefield under its owner's control at the beginning of the next end step.
Explosive Getaway deals 4 damage to each creature.","R,W","R,W",mythic,DFT,Aetherdrift,403,,,,
Explosive Getaway,{3}{R}{W},5.0,Sorcery,"Exile up to one target artifact or creature. Return it to the battlefield under its owner's control at the beginning of the next end step.
Explosive Getaway deals 4 damage to each creature.","R,W","R,W",rare,DFT,Aetherdrift,390,,,,
Explosive Getaway,{3}{R}{W},5.0,Sorcery,"Exile up to one target artifact or creature. Return it to the battlefield under its owner's control at the beginning of the next end step.
Explosive Getaway deals 4 damage to each creature.","R,W","R,W",rare,DFT,Aetherdrift,479,,,,
Explosive Getaway,{3}{R}{W},5.0,Sorcery,"Exile up to one target artifact or creature. Return it to the battlefield under its owner's control at the beginning of the next end step.
Explosive Getaway deals 4 damage to each creature.","R,W","R,W",rare,DFT,Aetherdrift,202,,,,
Explosive Getaway,{3}{R}{W},5.0,Sorcery,"Exile up to one target artifact or creature. Return it to the battlefield under its owner's control at the beginning of the next end step.
Explosive Getaway deals 4 damage to each creature.","R,W","R,W",mythic,DFT,Aetherdrift,413,,,,
Exsanguinate,{X}{B}{B},2.0,Sorcery,Each opponent loses X life. You gain life equal to the life lost this way.,B,B,uncommon,SOM,Scars of Mirrodin,61,,,,
Exsanguinate,{X}{B}{B},2.0,Sorcery,Each opponent loses X life. You gain life equal to the life lost this way.,B,B,uncommon,CMM,Commander Masters,156,,,,
Exsanguinate,{X}{B}{B},2.0,Sorcery,Each opponent loses X life. You gain life equal to the life lost this way.,B,B,uncommon,PLST,The List,SOM-61,,,,
Exsanguinate,{X}{B}{B},2.0,Sorcery,Each opponent loses X life. You gain life equal to the life lost this way.,B,B,uncommon,J22,Jumpstart 2022,413,,,,
Exsanguinate,{X}{B}{B},2.0,Sorcery,Each opponent loses X life. You gain life equal to the life lost this way.,B,B,uncommon,FIC,Final Fantasy Commander,276,,,,
Exsanguinate,{X}{B}{B},2.0,Sorcery,Each opponent loses X life. You gain life equal to the life lost this way.,B,B,uncommon,CMM,Commander Masters,638,,,,
Exsanguinate,{X}{B}{B},2.0,Sorcery,Each opponent loses X life. You gain life equal to the life lost this way.,B,B,uncommon,J25,Foundations Jumpstart,437,,,,
Exsanguinate,{X}{B}{B},2.0,Sorcery,Each opponent loses X life. You gain life equal to the life lost this way.,B,B,uncommon,FDN,Foundations,173,,,,
Extract a Confession,{1}{B},2.0,Sorcery,"As an additional cost to cast this spell, you may collect evidence 6. (Exile cards with total mana value 6 or greater from your graveyard.)
Each opponent sacrifices a creature of their choice. If evidence was collected, instead each opponent sacrifices a creature with the greatest power among creatures they control.",B,B,common,MKM,Murders at Karlov Manor,84,,,,Collect evidence
