name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,keywords
Bloodtithe Collector,{4}{B},5.0,Creature — Vampire Noble,"Flying
When this creature enters, if an opponent lost life this turn, each opponent discards a card.",B,B,uncommon,DBL,Innistrad: Double Feature,90,3,4,,Flying
Bloodtithe Collector,{4}{B},5.0,Creature — Vampire Noble,"Flying
When this creature enters, if an opponent lost life this turn, each opponent discards a card.",B,B,uncommon,J25,Foundations Jumpstart,410,3,4,,Flying
Bloodtithe Collector,{4}{B},5.0,Creature — Vampire Noble,"Flying
When this creature enters, if an opponent lost life this turn, each opponent discards a card.",B,B,uncommon,FDN,Foundations,516,3,4,,Flying
Bloom Tender,{1}{G},2.0,Creature — Elf Druid,"Vivid — {T}: For each color among permanents you control, add one mana of that color.",G,G,mythic,ECL,Lorwyn Eclipsed,390,1,1,,Vivid
Bloom Tender,{1}{G},2.0,Creature — Elf Druid,"Vivid — {T}: For each color among permanents you control, add one mana of that color.",G,G,rare,2X2,Double Masters 2022,366,1,1,,Vivid
Bloom Tender,{1}{G},2.0,Creature — Elf Druid,"Vivid — {T}: For each color among permanents you control, add one mana of that color.",G,G,rare,SLD,Secret Lair Drop,284,1,1,,Vivid
Bloom Tender,{1}{G},2.0,Creature — Elf Druid,"Vivid — {T}: For each color among permanents you control, add one mana of that color.",G,G,mythic,ECL,Lorwyn Eclipsed,324,1,1,,Vivid
Bloom Tender,{1}{G},2.0,Creature — Elf Druid,"Vivid — {T}: For each color among permanents you control, add one mana of that color.",G,G,mythic,ECL,Lorwyn Eclipsed,400,1,1,,Vivid
Bloom Tender,{1}{G},2.0,Creature — Elf Druid,"Vivid — {T}: For each color among permanents you control, add one mana of that color.",G,G,rare,PLST,The List,EVE-66,1,1,,Vivid
Bloom Tender,{1}{G},2.0,Creature — Elf Druid,"Vivid — {T}: For each color among permanents you control, add one mana of that color.",G,G,rare,2X2,Double Masters 2022,458,1,1,,Vivid
Bloom Tender,{1}{G},2.0,Creature — Elf Druid,"Vivid — {T}: For each color among permanents you control, add one mana of that color.",G,G,rare,PRM,Magic Online Promos,102275,1,1,,Vivid
Bloom Tender,{1}{G},2.0,Creature — Elf Druid,"Vivid — {T}: For each color among permanents you control, add one mana of that color.",G,G,mythic,ECL,Lorwyn Eclipsed,166,1,1,,Vivid
Bloom Tender,{1}{G},2.0,Creature — Elf Druid,"Vivid — {T}: For each color among permanents you control, add one mana of that color.",G,G,rare,EVE,Eventide,66,1,1,,Vivid
Bloom Tender,{1}{G},2.0,Creature — Elf Druid,"Vivid — {T}: For each color among permanents you control, add one mana of that color.",G,G,mythic,SPG,Special Guests,79,1,1,,Vivid
Bloom Tender,{1}{G},2.0,Creature — Elf Druid,"Vivid — {T}: For each color among permanents you control, add one mana of that color.",G,G,mythic,PECL,Lorwyn Eclipsed Promos,166p,1,1,,Vivid
Bloom Tender,{1}{G},2.0,Creature — Elf Druid,"Vivid — {T}: For each color among permanents you control, add one mana of that color.",G,G,rare,2X2,Double Masters 2022,138,1,1,,Vivid
Blooming Stinger,{1}{G},2.0,Creature — Plant Scorpion,"Deathtouch
When this creature enters, another target creature you control gains deathtouch until end of turn.",G,G,common,EOE,Edge of Eternities,174,2,2,,Deathtouch
Bloomvine Regent // Claim Territory,{3}{G}{G} // {2}{G},5.0,Creature — Dragon // Sorcery — Omen,,G,G,rare,TDM,Tarkir: Dragonstorm,136,4,5,,Flying
Bloomvine Regent // Claim Territory,{3}{G}{G} // {2}{G},5.0,Creature — Dragon // Sorcery — Omen,,G,G,rare,PTDM,Tarkir: Dragonstorm Promos,136p,4,5,,Flying
