name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,keywords
Oaken Siren,{1}{U},2.0,Artifact Creature — Siren Pirate,"Flying, vigilance
{T}: Add {U}. Spend this mana only to cast an artifact spell or activate an ability of an artifact source.",U,U,common,LCI,The Lost Caverns of Ixalan,66,1,2,,Flying;Vigilance
Oasis Gardener,{3},3.0,Artifact Creature — Scarecrow,"When this creature enters, you gain 2 life.
{T}: Add one mana of any color.",,,common,OTJ,Outlaws of Thunder Junction,246,2,2,,
"Obeka, Splitter of Seconds",{1}{U}{B}{R},4.0,Legendary Creature — Ogre Warlock,"Menace
Whenever Obeka deals combat damage to a player, you get that many additional upkeep steps after this phase.","B,R,U","B,R,U",rare,OTJ,Outlaws of Thunder Junction,222,2,5,,Menace
"Obeka, Splitter of Seconds",{1}{U}{B}{R},4.0,Legendary Creature — Ogre Warlock,"Menace
Whenever Obeka deals combat damage to a player, you get that many additional upkeep steps after this phase.","B,R,U","B,R,U",rare,OTJ,Outlaws of Thunder Junction,358,2,5,,Menace
"Obeka, Splitter of Seconds",{1}{U}{B}{R},4.0,Legendary Creature — Ogre Warlock,"Menace
Whenever Obeka deals combat damage to a player, you get that many additional upkeep steps after this phase.","B,R,U","B,R,U",rare,POTJ,Outlaws of Thunder Junction Promos,222p,2,5,,Menace
"Obeka, Splitter of Seconds",{1}{U}{B}{R},4.0,Legendary Creature — Ogre Warlock,"Menace
Whenever Obeka deals combat damage to a player, you get that many additional upkeep steps after this phase.","B,R,U","B,R,U",rare,POTJ,Outlaws of Thunder Junction Promos,222s,2,5,,Menace
Oblivious Bookworm,{G}{U},2.0,Creature — Human Wizard,"At the beginning of your end step, you may draw a card. If you do, discard a card unless a permanent entered the battlefield face down under your control this turn or you turned a permanent face up this turn.","G,U","G,U",uncommon,DSK,Duskmourn: House of Horror,300,2,3,,
Oblivious Bookworm,{G}{U},2.0,Creature — Human Wizard,"At the beginning of your end step, you may draw a card. If you do, discard a card unless a permanent entered the battlefield face down under your control this turn or you turned a permanent face up this turn.","G,U","G,U",uncommon,DSK,Duskmourn: House of Horror,225,2,3,,
Obyra's Attendants // Desperate Parry,{4}{U} // {1}{U},5.0,Creature — Faerie Wizard // Instant — Adventure,,U,U,common,WOE,Wilds of Eldraine,63,3,4,,Flying
"Obyra, Dreaming Duelist",{U}{B},2.0,Legendary Creature — Faerie Warrior,"Flash
Flying
Whenever another Faerie you control enters, each opponent loses 1 life.","B,U","B,U",uncommon,WOE,Wilds of Eldraine,210,2,2,,Flying;Flash
