name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,keywords
J. Jonah Jameson,{2}{R},3.0,Legendary Creature — Human Citizen,"When J. Jonah Jameson enters, suspect up to one target creature. (A suspected creature has menace and can't block.)
Whenever a creature you control with menace attacks, create a Treasure token.",R,R,rare,OM1,Through the Omenpaths,88,2,2,,Treasure
J. Jonah Jameson,{2}{R},3.0,Legendary Creature — Human Citizen,"When J. Jonah Jameson enters, suspect up to one target creature. (A suspected creature has menace and can't block.)
Whenever a creature you control with menace attacks, create a Treasure token.",R,R,rare,PF25,MagicFest 2025,17,2,2,,Treasure
J. Jonah Jameson,{2}{R},3.0,Legendary Creature — Human Citizen,"When J. Jonah Jameson enters, suspect up to one target creature. (A suspected creature has menace and can't block.)
Whenever a creature you control with menace attacks, create a Treasure token.",R,R,rare,SPM,Marvel's Spider-Man,81,2,2,,Treasure
J. Jonah Jameson,{2}{R},3.0,Legendary Creature — Human Citizen,"When J. Jonah Jameson enters, suspect up to one target creature. (A suspected creature has menace and can't block.)
Whenever a creature you control with menace attacks, create a Treasure token.",R,R,rare,PSPM,Marvel's Spider-Man Promos,81s,2,2,,Treasure
J. Jonah Jameson,{2}{R},3.0,Legendary Creature — Human Citizen,"When J. Jonah Jameson enters, suspect up to one target creature. (A suspected creature has menace and can't block.)
Whenever a creature you control with menace attacks, create a Treasure token.",R,R,rare,SPM,Marvel's Spider-Man,261,2,2,,Treasure
"Jackal, Genius Geneticist",{G}{U},2.0,Legendary Creature — Human Scientist Villain,"Trample
Whenever you cast a creature spell with mana value equal to Jackal's power, copy that spell, except the copy isn't legendary. Then put a +1/+1 counter on Jackal. (The copy becomes a token.)","G,U","G,U",rare,SPM,Marvel's Spider-Man,272,1,1,,Trample
"Jackal, Genius Geneticist",{G}{U},2.0,Legendary Creature — Human Scientist Villain,"Trample
Whenever you cast a creature spell with mana value equal to Jackal's power, copy that spell, except the copy isn't legendary. Then put a +1/+1 counter on Jackal. (The copy becomes a token.)","G,U","G,U",rare,PSPM,Marvel's Spider-Man Promos,131s,1,1,,Trample
"Jackal, Genius Geneticist",{G}{U},2.0,Legendary Creature — Human Scientist Villain,"Trample
Whenever you cast a creature spell with mana value equal to Jackal's power, copy that spell, except the copy isn't legendary. Then put a +1/+1 counter on Jackal. (The copy becomes a token.)","G,U","G,U",rare,SPM,Marvel's Spider-Man,131,1,1,,Trample
"Jackal, Genius Geneticist",{G}{U},2.0,Legendary Creature — Human Scientist Villain,"Trample
Whenever you cast a creature spell with mana value equal to Jackal's power, copy that spell, except the copy isn't legendary. Then put a +1/+1 counter on Jackal. (The copy becomes a token.)","G,U","G,U",rare,OM1,Through the Omenpaths,136,1,1,,Trample
Jackdaw Savior,{2}{W},3.0,Creature — Bird Cleric,"Flying
Whenever this creature or another creature you control with flying dies, return another target creature card with lesser mana value from your graveyard to the battlefield.",W,W,rare,BLB,Bloomburrow,18,3,1,,Flying
